id,title,author,first_publish_year,rating,author_encoded,cluster
1989,Der Knecht,Isaac Bashevis Singer,1962,5.0,2,3
1990,Going to Meet the Man,James Baldwin,1965,5.0,6,3
1991,Molly's Pilgrim,Barbara Cohen,1981,5.0,1,1
1992,The Ground Beneath Her Feet,Salman Rushdie,1999,4.0,11,4
1993,The Hill,Horace Annesley Vachell,1905,4.0,1,0
1994,The reluctant dragon,Kenneth Grahame,1938,4.0,3,0
1995,Blue Mars,Kim Stanley Robinson,1996,4.0,4,4
1996,The Affair,Lee Child,2011,5.0,24,1
1997,Strangers On a Train,Patricia Highsmith,1950,5.0,12,3
1998,Tunnel in the sky,Robert A. Heinlein,1955,5.0,28,3
1999,The secret life of bees,Sue Monk Kidd,2000,5.0,1,1
2000,3rd Degree,James Patterson,2004,5.0,101,2
2001,The 5th horseman,James Patterson,2006,5.0,101,2
2002,The Curse of Chalion,Lois McMaster Bujold,1991,5.0,3,1
2003,Der Streit um den Sergeanten Grischa,Arnold Zweig,1928,4.0,1,0
2004,The Reverse of the Medal,Patrick O'Brian,1986,5.0,21,1
2005,La Goleta Nutmeg,Patrick O'Brian,1991,5.0,21,1
2006,The Time of the Angels,Iris Murdoch,1966,5.0,9,1
2007,Ostatnie Życzenie,Andrzej Sapkowski,1993,4.0,2,4
2008,Fifty-one tales,Lord Dunsany,1915,5.0,2,3
2009,Four Blind Mice,James Patterson,2002,5.0,101,2
2010,The Naked and the Dead,Norman Mailer,1948,5.0,3,3
2011,The Midnight Club,James Patterson,1989,5.0,101,2
2012,Der schwarze Obelisk,Erich Maria Remarque,1900,4.0,11,0
2013,Silver on the Tree (The Dark Is Rising #5),Susan Cooper,1977,4.0,7,4
2014,The Dangerous Days of Daniel X,James Patterson,1998,5.0,101,2
2015,The Almost Moon,Alice Sebold,2007,4.0,2,4
2016,Ellen Tebbits,Beverly Cleary,1951,5.0,24,3
2017,Harry the Dirty Dog,Gene Zion,1956,5.0,2,3
2018,Little Bear's Friend,Else Holmelund Minarik,1960,5.0,5,3
2019,The Curse of the Mummy's Tomb,Robert Lawrence Stine,1993,4.0,33,4
2020,"Junie B., First Grader",Barbara Park,2002,5.0,1,1
2021,3001,Arthur C. Clarke,1997,4.0,12,4
2022,The Blue Sword,Robin McKinley,1982,5.0,3,1
2023,Satan Bug,Alistair MacLean,1962,4.0,7,4
2024,Mary Poppins in the Park,P. L. Travers,1934,4.0,4,0
2025,Cuentos de la selva,Horacio Quiroga,1940,5.0,2,3
2026,The Carrie diaries,Candace Bushnell,2010,5.0,7,1
2027,Lirael Daughter of the Clayr,Garth Nix,2001,5.0,5,1
2028,My Uncle Oswald,Roald Dahl,1979,4.0,22,4
2029,A Day No Pigs Would Die,Robert Newton Peck,1972,5.0,1,1
2030,"Raise High the Roof Beam, Carpenters; and, Seymour",J. D. Salinger,1959,4.0,4,0
2031,The Keys to the Street,Ruth Rendell,1996,4.0,18,4
2032,Les Souterrains,Jack Kerouac,1958,4.0,10,0
2033,Judge and jury,James Patterson,2006,5.0,101,2
2034,Airs Above the Ground,Mary Stewart,1965,5.0,16,1
2035,Twelve Red Herrings,Jeffrey Archer,1900,4.0,24,0
2036,Wonder boys,Michael Chabon,1995,4.0,7,4
2037,Lucy Sullivan is getting married,Marian Keyes,1996,4.0,5,4
2038,The Spanish Bride,Georgette Heyer,1940,5.0,23,3
2039,Lady of Quality,Georgette Heyer,1972,5.0,23,1
2040,The India Fan,Victoria Holt,1985,5.0,23,1
2041,Ecstacy,Irvine Welsh,1996,5.0,5,1
2042,Talking to strange men,Ruth Rendell,1980,4.0,18,4
2043,Palomar,Italo Calvino,1981,4.0,8,4
2044,Vagabond (The Grail Quest #2),Bernard Cornwell,2002,4.0,27,4
2045,Oh my goddess!,Kōsuke Fujishima,1996,5.0,1,1
2046,Spinsters in Jeopardy (Roderick Alleyn #17),Ngaio Marsh,1953,4.0,22,0
2047,Red Planet,Robert A. Heinlein,1949,4.0,28,0
2048,The Relic,Douglas Preston,1995,4.0,2,4
2049,Red Rabbit,Tom Clancy,1998,5.0,12,1
2050,"The Experiences of Loveday Brooke, Lady Detective",Catherine Louisa Pirkis,1986,5.0,1,1
2051,Way station,Clifford D. Simak,1963,4.0,3,4
2052,Quella stratopica vacanza alla pensione Mirasorci...,Elisabetta Dami,1972,5.0,33,1
2053,Dominic,William Steig,1972,5.0,9,1
2054,The Painted Veil,William Somerset Maugham,1925,4.0,13,0
2055,The Inimitable Jeeves,P. G. Wodehouse,1931,4.0,32,0
2056,Five Go to Demon's Rocks,Enid Blyton,1970,5.0,38,1
2057,The Monster Men,Edgar Rice Burroughs,1962,4.0,30,4
2058,The Magicians of Caprona,Diana Wynne Jones,1980,5.0,10,1
2059,River God,Wilbur Smith,1993,5.0,1,1
2060,The Salmon of Doubt,Douglas Adams,1995,5.0,8,1
2061,Assassin's Apprentice,Robin Hobb,1995,5.0,3,1
2062,Call for the Dead,John le Carré,1961,4.0,16,4
2063,Fire from heaven,Mary Renault,1969,5.0,6,1
2064,Laughing Boy,Oliver La Farge,1929,5.0,1,3
2065,Modesty Blaise,"O'Donnell, Peter",1965,5.0,1,3
2066,Seize the Day,Saul Bellow,1956,4.0,7,0
2067,The Castle of Adventure,Enid Blyton,1946,5.0,38,3
2068,Lord Valentine's Castle,Robert Silverberg,1980,4.0,8,4
2069,Making Money,Terry Pratchett,2007,4.0,54,2
2070,Two solitudes,Hugh MacLennan,1945,4.0,1,0
2071,Last Exit to Brooklyn,"Hubert Selby, Jr.",1964,5.0,1,3
2072,El galeón de los Gatos Piratas,Elisabetta Dami,2000,5.0,33,1
2073,Eternity,Greg Bear,1988,5.0,14,1
2074,Run for your life,James Patterson,2008,5.0,101,2
2075,Der Kardinal im Kreml,Tom Clancy,1988,4.0,12,4
2076,How the leopard got his spots,Rudyard Kipling,1901,5.0,21,3
2077,The Mosquito Coast,Paul Theroux,1981,5.0,1,1
2078,La première enquête de Maigret,Georges Simenon,1948,4.0,45,0
2079,The Gathering,Anne Enright,2007,4.0,1,4
2080,Seventh Son,Orson Scott Card,1987,4.0,16,4
2081,Shadow and Bone,Leigh Bardugo,2012,5.0,6,1
2082,The Painted Bird,Jerzy N. Kosinski,1965,5.0,1,3
2083,Shock wave,Clive Cussler,1996,4.0,35,4
2084,The Reivers,William Faulkner,1962,5.0,12,3
2085,B.F. Skinner's Walden 2,B. F. Skinner,1948,4.0,1,0
2086,Anaphora ston Gkreko,Nikos Kazantzakis,1961,5.0,5,3
2087,A child's Christmas in Wales,Dylan Thomas,1954,5.0,2,3
2088,Cahier des charges de La vie,Georges Perec,1978,5.0,1,1
2089,Sharpe's gold,Bernard Cornwell,1981,4.0,27,4
2090,Sharpe's Fortress,Bernard Cornwell,1999,5.0,27,1
2091,La lenteur,Milan Kundera,1994,4.0,12,4
2092,Zeely,Virginia Hamilton,1967,4.0,2,4
2093,Exodus,Leon Uris,1958,4.34,2,0
2094,Tintenblut,Cornelia Funke,2005,5.0,5,1
2095,Time for the Stars,Robert A. Heinlein,1956,4.0,28,0
2096,Tobacco Road,Erskine Caldwell,1932,5.0,2,3
2097,Star Wars - From the Adventures of Luke Skywalker,George Lucas,1976,4.0,2,4
2098,The Physician,Noah Gordon,1986,4.0,4,4
2099,La condition humaine,André Malraux,1933,4.0,2,0
2100,The butterfly lion,Michael Morpurgo,1996,5.0,7,1
2101,Il conformista,Alberto Moravia,1951,5.0,5,3
2102,The Nonesuch,Georgette Heyer,1962,5.0,23,3
2103,One Door Away from Heaven,Dean Koontz,2001,5.0,48,2
2104,The Last Kingdom,Bernard Cornwell,2004,5.0,27,1
2105,Sail,James Patterson,1998,4.0,101,2
2106,Rebel,Bernard Cornwell,1993,4.0,27,4
2107,The Final Warning,James Patterson,1998,5.0,101,2
2108,Dragonsinger,Anne McCaffrey,1977,5.0,25,1
2109,A Horse's Tale,Mark Twain,1906,5.0,25,3
2110,Red harvest,Dashiell Hammett,1929,4.0,5,0
2111,Chicka chicka boom boom,Bill Martin Jr.,1989,5.0,3,1
2112,"The Lives of Christopher Chant (Chrestomanci, Book 2)",Diana Wynne Jones,1988,4.0,10,4
2113,Wifey,Judy Blume,1978,4.0,17,4
2114,The Stepford Wives,Ira Levin,1972,4.0,4,4
2115,I Took the Moon for a Walk,Carolyn Curtis,2004,5.0,1,1
2116,Witch & wizard,James Patterson,1999,5.0,101,2
2117,Kindred,Octavia E. Butler,1979,5.0,5,1
2118,Blueberries for Sal,Robert McCloskey,1948,5.0,2,3
2119,The Night Circus,Erin Morgenstern,2011,4.01,1,4
2120,A Dance With Dragons,George R. R. Martin,2008,4.0,10,4
2121,The caravaners,Elizabeth von Arnim,1909,5.0,7,3
2122,Homegoing,Yaa Gyasi,2016,5.0,1,1
2123,Interpreter of maladies,Jhumpa Lahiri,1999,5.0,4,1
2124,Ralph S. Mouse,Beverly Cleary,1982,5.0,24,1
2125,The Son of Neptune,Rick Riordan,2011,5.0,18,1
2126,Star Wars Episode I - The Phantom Menace,Terry Brooks,1995,4.0,14,4
2127,Black narcissus,Rumer Godden,1939,4.0,6,0
2128,The blazed trail,Stewart Edward White,1900,4.0,2,0
2129,The Cement Garden,Ian McEwan,1978,5.0,12,1
2130,SS-GB,Len Deighton,1978,5.0,9,1
2131,Black Rose,Nora Roberts,2005,4.0,89,2
2132,Kisscut,Karin Slaughter,1999,5.0,4,1
2133,The witness,Sandra Brown,1995,4.0,43,4
2134,The Renegades of Pern,Anne McCaffrey,1989,4.0,25,4
2135,Minding Frankie,Maeve Binchy,2010,4.0,19,4
2136,Vengeance in Death,Nora Roberts,1997,5.0,89,2
2137,El invierno del mundo / Winter of the World,Ken Follett,2012,4.0,20,4
2138,Inch by inch,Leo Lionni,1960,5.0,8,3
2139,Pierre,Maurice Sendak,1962,4.0,7,4
2140,Pandora,Anne Rice,1998,5.0,23,1
2141,El Príncipe de la Niebla,Carlos Ruiz Zafón,1993,5.0,8,1
2142,Pappan och havet,Tove Jansson,1966,5.0,9,1
2143,Hand in Glove,Ngaio Marsh,1962,5.0,22,3
2144,The Worst Years of My Life,James Patterson,1976,5.0,101,2
2145,Valley of Silence,Nora Roberts,2006,5.0,89,2
2146,Under Gemini,Rosamunde Pilcher,1976,4.0,12,4
2147,The case of the velvet claws,Erle Stanley Gardner,1933,5.0,9,3
2148,The passion,Jeanette Winterson,1987,4.0,7,4
2149,Flashman's Lady (Flashman),George MacDonald Fraser,1977,5.0,6,1
2150,"A dark, dark tale",Ruth Brown,1981,4.0,1,4
2151,Ring for Jeeves,P. G. Wodehouse,1953,5.0,32,3
2152,L' aiguille creuse,Maurice Leblanc,1909,4.0,3,0
2153,El juego de Ripper,Isabel Allende,2013,5.0,17,1
2154,El siglo de las luces,Alejo Carpentier,1962,5.0,2,3
2155,Il mistero della piramide di formaggio,Elisabetta Dami,2000,4.0,33,4
2156,UN Grito En LA Noche/a Cry in the Night,Mary Higgins Clark,1982,5.0,20,1
2157,Il misterioso del tesero scomparso,Elisabetta Dami,2000,5.0,33,1
2158,The Dead,James Joyce,1965,5.0,6,3
2159,Benito Cereno,Herman Melville,1926,5.0,9,3
2160,The Wind Through the Keyhole,Stephen King,1925,5.0,70,2
2161,Let's Get Invisible!,Robert Lawrence Stine,1993,5.0,33,1
2162,A Gentleman in Moscow,Amor Towles,2016,5.0,2,1
2163,Post Captain,Patrick O'Brian,1972,5.0,21,1
2164,Life & times of Michael K,J. M. Coetzee,1983,4.0,9,4
2165,2666,Roberto Bolaño,2004,5.0,3,1
2166,Gargantua et Pantagruel,François Rabelais,1929,4.0,1,0
2167,Empire of the Sun,J. G. Ballard,1984,4.0,3,4
2168,Dark Witch,Nora Roberts,2013,5.0,89,2
2169,The Mountain of Adventure,Enid Blyton,1949,5.0,38,3
2170,The Child in Time,Ian McEwan,1987,4.0,12,4
2171,The Patriot,Pearl S. Buck,1939,5.0,14,3
2172,Leviathan Wakes,James S. A. Corey,2009,5.0,2,1
2173,Fail-safe,Eugene Burdick,1962,4.0,1,4
2174,Judy Moody was in a Mood,Megan McDonald,2000,5.0,12,1
2175,The death of the heart,Elizabeth Bowen,1938,4.0,2,0
2176,A Death in the Family,James Agee,1957,4.0,2,0
2177,A star called Henry,Roddy Doyle,1999,5.0,3,1
2178,La nuit du carrefour,Georges Simenon,1931,4.0,45,0
2179,This is the bear,Sarah Hayes,1986,4.0,1,4
2180,The Sheltering Sky,Paul Bowles,1948,5.0,1,3
2181,A Glass of Blessings,Barbara Pym,1958,5.0,4,3
2182,Il castello di Zampaciccia Zanzamiao,Elisabetta Dami,2000,5.0,33,1
2183,The Hundred Secret Senses,Amy Tan,1995,5.0,4,1
2184,Strangers in death,Nora Roberts,2008,4.0,89,2
2185,The Tale of the Body Thief,Anne Rice,1992,4.0,23,4
2186,The Taking,Dean Koontz,2004,5.0,48,2
2187,Deliverance,James Dickey,1970,5.0,1,1
2188,金閣寺,三島由紀夫,1956,5.0,3,3
2189,На Дрини ћуприја (Na Drini ćuprija),Ivo Andrić,1959,5.0,1,3
2190,Proof,Dick Francis,1984,4.0,24,4
2191,A Suitable Boy,Vikram Seth,1993,4.0,1,4
2192,The river,Rumer Godden,1946,5.0,6,3
2193,Bedtime for Frances,Russell Hoban,1960,5.0,8,3
2194,Sons of Fortune,Jeffrey Archer,2002,5.0,24,1
2195,The Given Day,Dennis Lehane,1999,4.0,13,4
2196,Blue gold,Clive Cussler,2000,4.0,35,4
2197,The charm school,Nelson De Mille,1988,4.0,16,4
2198,ねじまき鳥クロニクル,村上春樹,1997,4.0,13,4
2199,Angels Fall,Nora Roberts,2006,5.0,89,2
2200,Tikki Tikki Tembo,Arlene Mosel,1968,5.0,1,1
2201,Ticktock,Dean Koontz,1996,5.0,48,2
2202,This Year Will Be Different,Maeve Binchy,1996,4.0,19,4
2203,El sol de Breda,Arturo Pérez-Reverte,1998,5.0,14,1
2204,The Ionian Mission,Patrick O'Brian,1981,5.0,21,1
2205,Laddie,Gene Stratton-Porter,1913,4.0,6,0
2206,A Little Life,Hanya Yanagihara,2015,4.3,1,4
2207,Huasipungo,Jorge Icaza,1934,5.0,1,3
2208,False Impression,Jeffrey Archer,2005,5.0,24,1
2209,First Term at Malory Towers,Enid Blyton,1967,5.0,38,1
2210,The Book of Wonder,Lord Dunsany,1912,5.0,2,3
2211,The Demon Lover (Chivers Sound Library),Victoria Holt,1982,4.0,23,4
2212,Der satanarchäolygenialkohöllische Wunschpunsch,Michael Ende,1989,5.0,3,1
2213,A paixão segundo G.H.,Хая Пінкасівна Ліспектор,1964,4.0,1,4
2214,The fur person,May Sarton,1957,5.0,2,3
2215,The Institute,Stephen King,2019,5.0,70,2
2216,"Encyclopedia Brown, Boy Detective",Leonard Shortall,1963,5.0,1,3
2217,羊をめぐる冒険,村上春樹,1982,4.0,13,4
2218,The dot,Peter H. Reynolds,2003,4.0,2,4
2219,The Cuckoo's Calling,J. K. Rowling,2013,4.0,14,4
2220,Captain Underpants And The Revolting Revenge Of The Radioactive Roboboxers,Dav Pilkey,2013,5.0,22,1
2221,The Egypt game,Zilpha Keatley Snyder,1967,5.0,1,1
2222,A separate peace,John Knowles,1959,5.0,2,3
2223,Forever Odd,Dean Koontz,2005,4.0,48,4
2224,"Thank you, Jeeves",P. G. Wodehouse,1934,5.0,32,3
2225,The Miraculous Journey of Edward Tulane,Kate DiCamillo,2000,5.0,6,1
2226,The Castle Corona,Sharon Creech,2007,5.0,5,1
2227,The burden of proof,Scott Turow,1990,5.0,3,1
2228,The Adventures of Sally,P. G. Wodehouse,1922,5.0,32,3
2229,National Velvet,"Bagnold, Enid.",1900,4.0,1,0
2230,Nightbirds on Nantucket (Wolves #3),Joan Aiken,1966,5.0,3,1
2231,The Roman spring of Mrs. Stone,Tennessee Williams,1950,4.0,3,0
2232,Stink,Megan McDonald,2001,4.0,12,4
2233,Big Trouble,Dave Barry,1999,4.0,2,4
2234,Where the heart is,Billie Letts,1995,4.0,1,4
2235,The Reluctant Fundamentalist,Mohsin Hamid,2007,5.0,2,1
2236,Legacy,Greg Bear,1960,4.0,14,0
2237,Mrs Craddock,William Somerset Maugham,1902,4.0,13,0
2238,Absent in the Spring,Agatha Christie,1944,5.0,85,2
2239,The historical nights' entertainment,Rafael Sabatini,1917,4.0,5,0
2240,Die Aufzeichnungen des Malte Laurids Brigge,Rainer Maria Rilke,1910,5.0,1,3
2241,Veranilda,George Gissing,1904,5.0,8,3
2242,Morality for beautiful girls,Alexander McCall Smith,2001,5.0,13,1
2243,Envy,Sandra Brown,2001,5.0,43,1
2244,American Tabloid,James Ellroy,1995,4.0,9,4
2245,"Pancakes, pancakes!",Eric Carle,1970,5.0,16,1
2246,What the Ladybird Heard,Julia Donaldson,2001,4.0,14,4
2247,ElfQuest,Wendy Pini,1981,5.0,1,1
2248,El amante japonés,Isabel Allende,2000,4.0,17,4
2249,Jailbird,Kurt Vonnegut,1979,5.0,11,1
2250,The best man to die,Ruth Rendell,1969,5.0,18,1
2251,Le Roi de fer,Maurice Druon,1955,4.0,1,0
2252,The adventures of Augie March,Saul Bellow,1953,4.0,7,0
2253,The Black Stallion Returns,Walter Farley,1945,5.0,2,3
2254,Love That Dog,Sharon Creech,2001,4.0,5,4
2255,Sammy the Seal,Syd Hoff,1959,5.0,3,3
2256,Pacific Vortex!,Clive Cussler,1982,5.0,35,1
2257,To the Last Man,Zane Grey,1921,5.0,8,3
2258,The Return Journey,Maeve Binchy,1998,4.0,19,4
2259,The Head of Kay's,P. G. Wodehouse,1922,4.0,32,0
2260,Quattro topi nella giungla nera,Elisabetta Dami,2003,5.0,33,1
2261,Blood Brothers,Nora Roberts,1982,5.0,89,2
2262,The Autograph Man,Zadie Smith,2002,4.0,5,4
2263,The Fortune of War,Patrick O'Brian,1979,5.0,21,1
2264,From dead to worse,Charlaine Harris,2008,5.0,15,1
2265,Revival,Stephen King,2014,4.0,70,2
2266,"Flow my tears, the policeman said",Philip K. Dick,1974,4.0,18,4
2267,Faith of the Fallen,Terry Goodkind,2000,4.0,12,4
2268,The Other Woman,Joy Fielding,1982,4.0,5,4
2269,Limpieza de sangre,Arturo Pérez-Reverte,1997,5.0,14,1
2270,Damals war es Friedrich,Hans Peter Richter,1963,4.0,1,4
2271,The Entropy Effect,Vonda N. McIntyre,1981,4.0,1,4
2272,Die Vermessung der Welt,Daniel Kehlmann,2005,5.0,1,1
2273,Black Plumes,Margery Allingham,1940,4.0,14,0
2274,"Year of Magical Thinking, The",Joan Didion,2005,4.0,2,4
2275,Last Ditch,Ngaio Marsh,1976,5.0,22,1
2276,Mon ami Maigret,Georges Simenon,1949,4.0,45,0
2277,Spot goes to school,Eric Hill,1984,4.0,2,4
2278,Growing Vegetable Soup,Lois Ehlert,1987,4.0,1,4
2279,The snow goose,Paul Gallico,1940,5.0,1,3
2280,Southern Lights,Danielle Steel,2009,5.0,30,1
2281,Alcatraz versus the Evil Librarians,Brandon Sanderson,2007,4.0,13,4
2282,La tête d'un homme,Georges Simenon,1931,4.0,45,0
2283,Un Noël De Maigret,Georges Simenon,1951,4.0,45,0
2284,Shame,Salman Rushdie,1983,5.0,11,1
2285,Emperor,Conn Iggulden,2003,5.0,1,1
2286,Flickan som lekte med elden,Stieg Larsson,2006,5.0,3,1
2287,Paper Money,Ken Follett,1977,4.0,20,4
2288,A grain of wheat,Ngũgĩ wa Thiongʼo,1967,4.0,4,4
2289,The tenants,Bernard Malamud,1971,5.0,5,1
2290,The Human Stain,Philip Roth,2000,4.0,8,4
2291,Psycho,Robert Bloch,1959,4.0,1,0
2292,The Memory Keeper's Daughter,Kim Edwards,2005,3.7,1,4
2293,Burning Bright,John Steinbeck,1950,4.0,18,0
2294,Pawn of Prophecy,David Eddings,1982,5.0,2,1
2295,Sogljadataj,Vladimir Nabokov,1965,5.0,13,1
2296,The Bookshop,Penelope Fitzgerald,1978,4.0,2,4
2297,The Hero of Ages,Brandon Sanderson,2008,5.0,13,1
2298,Lincoln (Narratives of a Golden Age),Gore Vidal,1984,4.0,5,4
2299,Gardens of the Moon,Steven Erikson,1999,5.0,2,1
2300,Slow heat in heaven,Sandra Brown,1988,5.0,43,1
2301,Cycle of the Werewolf,Stephen King,1983,5.0,70,2
2302,Sharpe's battle,Bernard Cornwell,1995,4.0,27,4
2303,The Big Clock,Kenneth Fearing,1946,4.0,1,0
2304,Reign Of Law,James Allen,1900,4.0,2,0
2305,The thirteen-gun salute,Patrick O'Brian,1989,5.0,21,1
2306,Hyperion,Dan Simmons,1989,4.0,3,4
2307,"Tales from Earthsea (The Earthsea Cycle, Book 5)",Ursula K. Le Guin,2001,5.0,15,1
2308,Det osynliga barnet och andra berättelser,Tove Jansson,1963,5.0,9,3
2309,The Hit,David Baldacci,2013,5.0,36,1
2310,Grendel,John Gardner,1971,4.0,1,4
2311,We the living,Ayn Rand,1936,4.0,4,0
2312,The Rowan,Anne McCaffrey,1990,5.0,25,1
2313,Earth is Room Enough,Isaac Asimov,1957,5.0,25,3
2314,You've Been Warned,James Patterson,2007,4.0,101,2
2315,Burr,Gore Vidal,1973,5.0,5,1
2316,The children of Green Knowe,Lucy M. Boston,1954,4.0,3,0
2317,Royal Flash,George MacDonald Fraser,1970,4.0,6,4
2318,Eleanor & Park,Rainbow Rowell,2012,3.93,1,4
2319,Treason's Harbour,Patrick O'Brian,1983,5.0,21,1
2320,The Boys from Brazil,Ira Levin,1976,4.0,4,4
2321,The Way of Kings,Brandon Sanderson,2010,5.0,13,1
2322,Creation in Death,Nora Roberts,2007,5.0,89,2
2323,Feed,M. T. Anderson,2002,4.0,1,4
2324,Gregor and the Curse of the Warmbloods,Suzanne Collins,2005,5.0,9,1
2325,Afternoon on the Amazon,Mary Pope Osborne,1995,5.0,28,1
2326,Good Night Gorilla,Peggy Rathmann,1994,5.0,2,1
2327,Wayside School is Falling Down (Wayside School #2),Louis Sachar,1989,5.0,6,1
2328,Rising Storm,Erin Hunter,2004,5.0,5,1
2329,A single shard,Linda Sue Park,2001,5.0,2,1
2330,Dancers in Mourning,Margery Allingham,1935,5.0,14,3
2331,El Buen Nombre (Lingua Franca),Jhumpa Lahiri,2003,4.0,4,4
2332,A Long Walk to Water( Linda Sue Park),Linda Sue Park,2008,5.0,2,1
2333,Gregor and the Prophecy of Bane,Suzanne Collins,2004,5.0,9,1
2334,A Court of Thorns and Roses,Sarah J. Maas,2015,5.0,11,1
2335,Just David,Eleanor Hodgman Porter,1916,5.0,4,3
2336,High Citadel,Desmond Bagley,1965,5.0,3,3
2337,A Stab in the Dark,Lawrence Block,1981,4.0,13,4
2338,The Grim Smile of the Five Towns,Arnold Bennett,1907,4.0,8,0
2339,"Loves Music, Loves to Dance",Mary Higgins Clark,1991,4.0,20,4
2340,The swords of Lankhmar,Fritz Leiber,1968,4.0,10,4
2341,The One (The Selection #3),Kiera Cass,2012,5.0,4,1
2342,Prince Cinders,Babette Cole,1987,5.0,1,1
2343,The Bastard,John Jakes,1974,4.0,1,4
2344,Blood Canticle,Anne Rice,2003,4.0,23,4
2345,De man die even wilde afrekenen,Maj Sjöwall,1970,4.0,10,4
2346,Fat Tuesday,Sandra Brown,1984,4.0,43,4
2347,Caught,Harlan Coben,2010,5.0,16,1
2348,The Lantern Bearers,Rosemary Sutcliff,1959,5.0,4,3
2349,The drowning pool,Ross Macdonald,1950,4.0,3,0
2350,American Pastoral,Philip A. Roth,1997,5.0,5,1
2351,The Little White Horse,Elizabeth Goudge,1920,4.0,1,0
2352,Olivia,Dorothy Bussy,1949,5.0,1,3
2353,The manticore,Robertson Davies,1972,4.0,6,4
2354,El reino de este mundo,Alejo Carpentier,1964,4.0,2,4
2355,Two symphonies,André Gide,1931,4.0,3,0
2356,Peter Abelard,Helen Waddell,1933,4.0,1,0
2357,When Zachary Beaver Came to Town,Kimberly Willis Holt,1999,5.0,1,1
2358,Il Fantasma del Metrò,Elisabetta Dami,2000,5.0,33,1
2359,People of the book,Geraldine Brooks,1991,4.0,3,4
2360,Memnoch the Devil,Anne Rice,1995,4.0,23,4
2361,Black As He's Painted,Ngaio Marsh,1974,5.0,22,1
2362,Wizard At Large,Terry Brooks,1988,4.0,14,4
2363,Key of Valour,Nora Roberts,2003,4.0,89,2
2364,The adventures of Super Diaper Baby,Dav Pilkey,2002,5.0,22,1
2365,Up country,Nelson De Mille,2001,5.0,16,1
2366,The angel of darkness,Caleb Carr,1997,5.0,2,1
2367,Amsterdam,Ian McEwan,1998,4.0,12,4
2368,The Mirror and the Light,Hilary Mantel,2020,5.0,6,1
2369,"The Capture (Guardians of Ga'Hoole, Book 1)",Kathryn Lasky,1987,5.0,2,1
2370,The original adventures of Hank the Cowdog,John R. Erickson,1983,5.0,2,1
2371,Grand avenue,Joy Fielding,2001,4.0,5,4
2372,Whispers and lies,Joy Fielding,2002,5.0,5,1
2373,The Chase,Clive Cussler,2007,4.0,35,4
2374,Chinese Cinderella,Adeline Yen Mah,1999,5.0,1,1
2375,Vampire Academy,Richelle Mead,2007,5.0,1,1
2376,The Crush,Sandra Brown,2002,5.0,43,1
2377,ダンス・ダンス・ダンス,村上春樹,1985,4.0,13,4
2378,A drink before the war,Dennis Lehane,1994,4.0,13,4
2379,The Last of the Plainsmen,Zane Grey,1908,5.0,8,3
2380,Robot Dreams [21 short stories],Isaac Asimov,1986,5.0,25,1
2381,Monkey Puzzle,Julia Donaldson,2000,5.0,14,1
2382,Le cosmicomiche,Italo Calvino,1965,5.0,8,3
2383,The coldest winter ever,Sister Souljah,1999,5.0,1,1
2384,Storia di chi fugge e di chi resta,Elena Ferrante,2000,4.0,7,4
2385,Franklin says I love you,Paulette Bourgeois,1997,5.0,14,1
2386,Una granita di mosche per il Conte,Elisabetta Dami,2000,5.0,33,1
2387,Short Stories (Murders in the Rue Morgue / Mystery of Marie Roget / Purloined Letter),Edgar Allan Poe,1992,5.0,14,1
2388,Artists in Crime,Ngaio Marsh,1938,4.0,22,0
2389,Die Teufelin. Großdruck. Roman,Fay Weldon,1983,4.0,1,4
2390,Shane,Jack Schaefer,1920,4.0,1,0
2391,White Noise,Don DeLillo,1984,4.0,1,4
2392,Robert Ludlum's The Lazarus vendetta,Patrick Larkin,2004,4.0,1,4
2393,The Cat Who Went to Heaven,Elizabeth Jane Coatsworth,1930,4.0,1,0
2394,"Ten, nine, eight",Molly Bang,1982,4.0,1,4
2395,A complicated kindness,Miriam Toews,2004,4.0,1,4
2396,Labyrinths,Jorge Luis Borges,1962,5.0,5,3
2397,The little drummer girl,John le Carré,1983,4.0,16,4
2398,Birds Without Wings,Louis de Bernières,2004,4.0,4,4
2399,Henry And Mudge In The Sparkle Days,Cynthia Rylant,1988,5.0,4,1
2400,Il Codice del Drago,Elisabetta Dami,2005,4.0,33,4
2401,The Valley of Adventure,Enid Blyton,1947,5.0,38,3
2402,Brave New World and Brave New World Revisited,Aldous Huxley,1942,5.0,10,3
2403,Legends,Robert Silverberg,1998,5.0,8,1
2404,Lady into fox,David Garnett,1922,5.0,1,3
2405,Di brider Ashkenazi,Israel Joshua Singer,1936,5.0,1,3
2406,"Aurora dawn, or, The true history of Andrew Reale",Herman Wouk,1947,5.0,9,3
2407,Judy Moody,Megan McDonald,2006,5.0,12,1
2408,Pimp,Iceberg Slim,1967,5.0,1,1
2409,Mama,Terry McMillan,1987,5.0,2,1
2410,Majipoor Chronicles,Robert Silverberg,1982,4.0,8,4
2411,La solitudine dei numeri primi,Paolo Giordano,2008,4.0,1,4
2412,La neige était sale,Georges Simenon,1948,4.0,45,0
2413,Yukiguni,川端康成,1937,5.0,1,3
2414,The star beast,Robert A. Heinlein,1954,4.0,28,0
2415,世界の終りとハードボイルド・ワンダーランド,村上春樹,1985,4.0,13,4
2416,The Space Merchants,Frederik Pohl,1952,4.0,3,0
